Source	Target
48	31
48	11
48	33
48	26
48	16
12	8
12	27
12	16
4	10
4	21
4	32
4	0
4	26
18	24
18	6
18	26
25	7
44	46
44	6
10	4
10	9
38	0
38	2
1	20
1	28
1	0
5	28
24	18
24	46
8	12
8	46
8	13
46	44
46	24
46	8
46	37
46	3
46	9
31	48
31	3
34	21
34	2
34	33
6	18
6	44
6	2
6	9
37	46
37	9
36	47
36	42
21	4
21	34
21	11
13	8
47	36
47	33
20	1
20	2
20	45
28	1
28	5
30	42
30	9
19	43
19	33
19	40
43	19
43	35
43	7
3	46
3	31
35	43
35	22
32	4
32	16
11	48
11	21
11	0
11	23
0	4
0	38
0	1
0	11
2	38
2	34
2	6
2	20
2	14
2	33
27	12
14	2
23	11
33	48
33	34
33	47
33	19
33	2
26	48
26	4
26	18
40	19
7	25
7	43
7	42
7	15
42	36
42	30
42	7
45	20
9	10
9	46
9	6
9	37
9	30
16	48
16	12
16	32
22	35
15	7
